id,category,store,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
71057,LAPTOP,Anhoch,62980.0,62980.0,62980.0,62980.0,62980.0
71058,LAPTOP,Anhoch,63980.0,63980.0,63980.0,63980.0,61980.0
71059,LAPTOP,Anhoch,63980.0,63980.0,63980.0,63980.0,63980.0
71060,LAPTOP,Anhoch,64980.0,64980.0,64980.0,64980.0,64980.0
71061,LAPTOP,Anhoch,64980.0,64980.0,64980.0,64980.0,64980.0
71062,LAPTOP,Anhoch,64980.0,64980.0,64980.0,64980.0,64980.0
71063,LAPTOP,Anhoch,64980.0,64980.0,64980.0,64980.0,64980.0
71064,LAPTOP,Anhoch,64980.0,64980.0,64980.0,64980.0,64980.0
71065,LAPTOP,Anhoch,67980.0,67980.0,67980.0,67980.0,67980.0
71066,LAPTOP,Anhoch,67980.0,67980.0,67980.0,67980.0,67980.0
71067,LAPTOP,Anhoch,67980.0,67980.0,67980.0,67980.0,67980.0
71068,LAPTOP,Anhoch,67980.0,67980.0,67980.0,67980.0,67980.0
71069,LAPTOP,Anhoch,67980.0,67980.0,67980.0,67980.0,67980.0
71070,LAPTOP,Anhoch,68880.0,68880.0,68880.0,68880.0,68880.0
71071,LAPTOP,Anhoch,68980.0,65980.0,65980.0,65980.0,65980.0
71072,LAPTOP,Anhoch,68980.0,65980.0,65980.0,65980.0,65980.0
71073,LAPTOP,Anhoch,68980.0,65980.0,65980.0,65980.0,65980.0
71074,LAPTOP,Anhoch,68980.0,65980.0,65980.0,65980.0,65980.0
71076,LAPTOP,Anhoch,69980.0,69980.0,69980.0,69980.0,69980.0
71077,LAPTOP,Anhoch,69980.0,67980.0,67980.0,67980.0,67980.0
71078,LAPTOP,Anhoch,69980.0,69980.0,69980.0,69980.0,69980.0
71079,LAPTOP,Anhoch,70980.0,70980.0,70980.0,70980.0,70980.0
71081,LAPTOP,Anhoch,71980.0,71980.0,71980.0,71980.0,71980.0
71082,LAPTOP,Anhoch,71980.0,71980.0,71980.0,71980.0,71980.0
71083,LAPTOP,Anhoch,72380.0,72380.0,72380.0,72380.0,72380.0
71084,LAPTOP,Anhoch,73980.0,73980.0,73980.0,73980.0,73980.0
71085,LAPTOP,Anhoch,73980.0,73980.0,73980.0,73980.0,73980.0
71086,LAPTOP,Anhoch,73980.0,73980.0,73980.0,73980.0,73980.0
71087,LAPTOP,Anhoch,74880.0,74880.0,74880.0,74880.0,74880.0
71090,LAPTOP,Anhoch,74980.0,74980.0,74980.0,74980.0,74980.0
71091,LAPTOP,Anhoch,77980.0,77980.0,77980.0,77980.0,77980.0
71092,LAPTOP,Anhoch,79980.0,75980.0,75980.0,75980.0,75980.0
71093,LAPTOP,Anhoch,79980.0,75980.0,75980.0,75980.0,75980.0
71094,LAPTOP,Anhoch,79980.0,79980.0,79980.0,79980.0,79980.0
71095,LAPTOP,Anhoch,81980.0,81980.0,81980.0,81980.0,81980.0
71096,LAPTOP,Anhoch,81980.0,81980.0,81980.0,81980.0,81980.0
71097,LAPTOP,Anhoch,82980.0,82980.0,82980.0,82980.0,82980.0
71098,LAPTOP,Anhoch,84980.0,84980.0,84980.0,84980.0,84980.0
71099,LAPTOP,Anhoch,85980.0,85980.0,85980.0,85980.0,85980.0
71100,LAPTOP,Anhoch,85980.0,85980.0,85980.0,85980.0,85980.0
71101,LAPTOP,Anhoch,88980.0,88980.0,88980.0,88980.0,88980.0
71102,LAPTOP,Anhoch,89980.0,89980.0,89980.0,89980.0,89980.0
71103,LAPTOP,Anhoch,89980.0,88480.0,88480.0,88480.0,88480.0
71104,LAPTOP,Anhoch,91980.0,91980.0,91980.0,91980.0,91980.0
71105,LAPTOP,Anhoch,92980.0,92980.0,92980.0,92980.0,92980.0
71106,LAPTOP,Anhoch,92980.0,92980.0,92980.0,92980.0,92980.0
71108,LAPTOP,Anhoch,94980.0,94980.0,89980.0,89980.0,89980.0
71109,LAPTOP,Anhoch,94980.0,94980.0,89980.0,89980.0,89980.0
71110,LAPTOP,Anhoch,94980.0,94980.0,89980.0,89980.0,89980.0
71111,LAPTOP,Anhoch,94980.0,94980.0,94980.0,94980.0,89980.0
71112,LAPTOP,Anhoch,94980.0,94980.0,94980.0,94980.0,94980.0
71113,LAPTOP,Anhoch,94980.0,94980.0,89980.0,89980.0,89980.0
71114,LAPTOP,Anhoch,94980.0,94980.0,94980.0,94980.0,94980.0
71115,LAPTOP,Anhoch,94980.0,94980.0,94980.0,94980.0,94980.0
71116,LAPTOP,Anhoch,95980.0,95980.0,95980.0,95980.0,95980.0
71117,LAPTOP,Anhoch,95980.0,95980.0,95980.0,95980.0,95980.0
71118,LAPTOP,Anhoch,96980.0,96980.0,96980.0,96980.0,96980.0
71120,LAPTOP,Anhoch,99980.0,92980.0,92980.0,92980.0,92980.0
71121,LAPTOP,Anhoch,99980.0,92980.0,92980.0,92980.0,92980.0
71122,LAPTOP,Anhoch,100980.0,100980.0,100980.0,100980.0,100980.0
71123,LAPTOP,Anhoch,105980.0,105980.0,105980.0,105980.0,105980.0
71124,LAPTOP,Anhoch,109980.0,109980.0,109980.0,109980.0,109980.0
71125,LAPTOP,Anhoch,109980.0,109980.0,109980.0,109980.0,104980.0
71126,LAPTOP,Anhoch,109980.0,109980.0,109980.0,109980.0,109980.0
71129,LAPTOP,Anhoch,113980.0,113980.0,113980.0,113980.0,113980.0
71130,LAPTOP,Anhoch,114980.0,114980.0,114980.0,114980.0,114980.0
71131,LAPTOP,Anhoch,120980.0,120980.0,120980.0,120980.0,120980.0
71135,LAPTOP,Anhoch,139980.0,129980.0,129980.0,129980.0,129980.0
71136,LAPTOP,Anhoch,149980.0,149980.0,149980.0,149980.0,149980.0
71137,LAPTOP,Anhoch,169980.0,157980.0,157980.0,157980.0,157980.0
71139,PHONE,Anhoch,3090.0,3090.0,3090.0,3090.0,3090.0
71140,PHONE,Anhoch,3090.0,3090.0,3090.0,3090.0,3090.0
71141,PHONE,Anhoch,3980.0,3980.0,3980.0,3980.0,3980.0
71142,PHONE,Anhoch,3980.0,3980.0,3980.0,3980.0,3980.0
71143,PHONE,Anhoch,4490.0,4490.0,4490.0,4490.0,4490.0
71144,PHONE,Anhoch,4580.0,4580.0,4580.0,4580.0,4580.0
71145,PHONE,Anhoch,4580.0,4580.0,4580.0,4580.0,4580.0
71148,PHONE,Anhoch,4780.0,4780.0,4780.0,4780.0,4780.0
71149,PHONE,Anhoch,4780.0,4780.0,4780.0,4780.0,4780.0
71150,PHONE,Anhoch,4780.0,4780.0,4780.0,4780.0,4780.0
71151,PHONE,Anhoch,4880.0,4880.0,4880.0,4880.0,4880.0
71152,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71153,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71154,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71155,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71156,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71157,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71160,PHONE,Anhoch,4980.0,4980.0,4980.0,4980.0,4980.0
71161,PHONE,Anhoch,5380.0,5380.0,5380.0,5380.0,5380.0
71162,PHONE,Anhoch,5380.0,5380.0,5380.0,5380.0,5380.0
71163,PHONE,Anhoch,5480.0,5480.0,5480.0,5480.0,5480.0
71164,PHONE,Anhoch,5490.0,5490.0,5490.0,5490.0,5490.0
71165,PHONE,Anhoch,5580.0,5580.0,5580.0,5580.0,5580.0
71166,PHONE,Anhoch,5580.0,5580.0,5580.0,5580.0,5580.0
71167,PHONE,Anhoch,5580.0,5580.0,5580.0,5580.0,5580.0
71168,PHONE,Anhoch,5980.0,5980.0,5980.0,5980.0,5980.0
71169,PHONE,Anhoch,5980.0,5980.0,5980.0,5980.0,5980.0
71170,PHONE,Anhoch,5980.0,5980.0,5980.0,5980.0,5980.0
71171,PHONE,Anhoch,5980.0,5980.0,5980.0,5980.0,5980.0
71173,PHONE,Anhoch,6480.0,6480.0,6480.0,6480.0,6480.0
71174,PHONE,Anhoch,6480.0,6480.0,6480.0,6480.0,6480.0
71175,PHONE,Anhoch,6480.0,6480.0,6480.0,6480.0,6480.0
71176,PHONE,Anhoch,6580.0,6580.0,6580.0,6580.0,6580.0
71177,PHONE,Anhoch,6580.0,6580.0,6580.0,6580.0,6580.0
71178,PHONE,Anhoch,6880.0,6880.0,6880.0,6880.0,6880.0
71179,PHONE,Anhoch,6880.0,6880.0,6880.0,6880.0,6880.0
71180,PHONE,Anhoch,6880.0,6880.0,6880.0,6880.0,6880.0
71181,PHONE,Anhoch,6980.0,6980.0,6980.0,6980.0,6980.0
71182,PHONE,Anhoch,6980.0,6980.0,6980.0,6980.0,6980.0
71183,PHONE,Anhoch,6980.0,6980.0,6980.0,6980.0,6980.0
71184,PHONE,Anhoch,6980.0,6980.0,6980.0,6980.0,6980.0
71185,PHONE,Anhoch,7280.0,7280.0,7280.0,7280.0,6980.0
71187,PHONE,Anhoch,7280.0,6980.0,6480.0,6480.0,6480.0
71188,PHONE,Anhoch,7280.0,7280.0,7280.0,7280.0,6980.0
71189,PHONE,Anhoch,7480.0,7480.0,7480.0,7480.0,7480.0
71190,PHONE,Anhoch,7480.0,7480.0,7980.0,7980.0,7480.0
71191,PHONE,Anhoch,7480.0,7480.0,7980.0,7980.0,7480.0
71192,PHONE,Anhoch,7480.0,7480.0,7980.0,7980.0,7480.0
71193,PHONE,Anhoch,7480.0,7480.0,7280.0,7280.0,6980.0
