name,link,image,regular_price,discount_price,category,store,date
Лаптоп LENOVO IdeaPad 3 15ITL6 i5-1155G7/8GB/256GB 82H80322RM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-3-15ITL6-i5-1155G7-8GB-256GB-82H80322RM,https://www.neptun.mk/2023/04/10/core_1.JPG?width=192,29999,25299.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS Vivobook Go 15 E1504FA-BQ511 R5-7520U/8GB DDR5/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-Vivobook-Go-15-E1504FA-BQ511-R5-7520U-8GB-DDR5-512GB-,https://www.neptun.mk/2023/06/27/ASUS02_500792c6-5400-4f51-968f-1d1a26d2a21e.JPG?width=192,27999,25499.0,LAPTOP,Neptun,2023-10-11
HP 15-fc0041nia R5-7520U/16GB DDR5/512GB 88X08EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15-fc0041nia-R5-7520U-16GB-DDR5-512GB-88X08EA,https://www.neptun.mk/2023/10/10/Hp_ea75cf3b-adc0-46b3-b4ec-b67f21e5ed64.JPG?width=192,27999,25999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 3 A315-43-R9D5 R5-5500U/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-3-A315-43-R9D5-R5-5500U-8GB-512GB,https://www.neptun.mk/2023/03/29/61.JPG?width=192,28999,25999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 255 G9 R3-5425U/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-255-G9-R3-5425U-8GB-512GB-6F294EA,https://www.neptun.mk/2023/01/17/c07972060_9fb373af-68a6-4ec8-b920-43afc7a8c7fe.png?width=192,29999,25999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 5 A515-56G-32LT i3-1115G4/8GB/256GB/MX350 2GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-56G-32LT-i3-1115G4-8GB-256GB-MX350-2GB,https://www.neptun.mk/2023/03/31/ACER_Aspire_5_A515-56G-32LT.JPG?width=192,29999,25999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 5 A515-56G-358F i3-1115G4/8GB/256GB/MX350 2GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-56G-358F-i3-1115G4-8GB-256GB-MX350-2GB,https://www.neptun.mk/2023/03/31/%D0%B0%D1%86_1.JPG?width=192,29999,25999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS X515EA-BQ511 i5-1135G7/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-X515EA-BQ511-i5-1135G7-8GB-512GB,https://www.neptun.mk/2022/02/03/X515_dd8b1564-bd41-4fb8-893a-32001cb0aff4.jpg?width=192,31999,25999.0,LAPTOP,Neptun,2023-10-11
"Лаптоп DELL Vostro 3400 14"" i5-1135G7/8GB/256GB SSD+1TB HDD/MX 330 2GB",https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3400-14--i5-1135G7-8GB-256GB-SSD-1TB-HDD-MX-330-2GB,https://www.neptun.mk/2023/05/02/DELLVostro3400_acda4e5b-f8f2-46a7-8e89-787225f4a6e8.JPG?width=192,35999,25999.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO IdeaPad 3 15ITL6 i5-1155G7/8GB/512GB 82H80323RM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-3-15ITL6-i5-1155G7-8GB-512GB-82H80323RM,https://www.neptun.mk/2023/07/07/Lenovo_67001b95-437a-4787-bebd-74b6624ada0f.JPG?width=192,31999,26499.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15-fc0039nia R5-7520U/16GB DDR5/512GB 88X06EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15-fc0039nia-R5-7520U-16GB-DDR5-512GB-88X06EA,https://www.neptun.mk/2023/10/06/Hp3_af33251f-14c5-40da-a4dd-180989688f9c.JPG?width=192,28999,26999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS X515EA-BQ322W i3-1115G4/8GB/512GB/WIN,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-X515EA-BQ322W-i3-1115G4-8GB-512GB-WIN,https://www.neptun.mk/2023/02/23/acerrr.JPG?width=192,31999,26999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 3 A315-24P-R8UG R5-7520U/16GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-3-A315-24P-R8UG-R5-7520U-16GB-DDR5-512GB,https://www.neptun.mk/2023/04/28/acer_1.JPG?width=192,33999,26999.0,LAPTOP,Neptun,2023-10-11
